Address Part 1,Address Part 2,Full Address,Latitude,Longitude
4075 32nd Avenue,"Hudsonville, Michigan 49426","4075 32nd Avenue, Hudsonville, Michigan 49426",42.8428328,-85.864152
2777 Airport Rd,"Jackson, Michigan 49202","2777 Airport Rd, Jackson, Michigan 49202",42.2702276,-84.4494282
2025 Showtime Drive,"Lansing, Michigan 48912","2025 Showtime Drive, Lansing, Michigan 48912",42.7665124,-84.5146632
6200 South Pennsylvania Avenue,"Lansing, Michigan 48911","6200 South Pennsylvania Avenue, Lansing, Michigan 48911",42.6682453,-84.541358
13070 Middlebelt Rd,"Livonia, Michigan 48150-0000","13070 Middlebelt Rd, Livonia, Michigan 48150-0000",42.379388,-83.329535
3900 W US Hwy 10,"Ludington, Michigan 49431-7612","3900 W US Hwy 10, Ludington, Michigan 49431-7612",43.9586804,-86.3772523
801 South Huron Avenue,"Mackinaw City, Michigan 49701","801 South Huron Avenue, Mackinaw City, Michigan 49701",45.7727257,-84.726321
3630 US-41,"Marquette, Michigan 49855","3630 US-41, Marquette, Michigan 49855",46.5512911,-87.4704153
15252 US Highway 27 N,"Marshall, Michigan 49068-9620","15252 US Highway 27 N, Marshall, Michigan 49068-9620",42.2919342,-84.9633852
5300 Harvey Street,"Muskegon, Michigan 49444-6716","5300 Harvey Street, Muskegon, Michigan 49444-6716",43.1560927,-86.2024488
20401 Haggerty Road,"Northville, Michigan 48167","20401 Haggerty Road, Northville, Michigan 48167",42.4382678,-83.4369135
500 Thomas Edison Parkway,"Port Huron, Michigan 48060","500 Thomas Edison Parkway, Port Huron, Michigan 48060",42.9981623,-82.4277
5121 S Westnedge Avenue,"Portage, Michigan 49002","5121 S Westnedge Avenue, Portage, Michigan 49002",42.2424359,-85.5872566
30800 Little Mack Avenue,"Roseville, Michigan 48066-1700","30800 Little Mack Avenue, Roseville, Michigan 48066-1700",42.5245458,-82.9083
1138 3 Mile Road,"Sault Ste. Marie, Michigan 49783","1138 3 Mile Road, Sault Ste. Marie, Michigan 49783",46.4633606,-84.3866396
3260 Niles Rd,"St. Joseph, Michigan 49085-9157","3260 Niles Rd, St. Joseph, Michigan 49085-9157",42.0566156,-86.4571148
5019 Red Arrow Hwy,"Stevensville, Michigan 49127","5019 Red Arrow Hwy, Stevensville, Michigan 49127",42.0280142,-86.5160418
4141 Morrish Road,"Swartz Creek, Michigan 48473","4141 Morrish Road, Swartz Creek, Michigan 48473",42.9681804,-83.8283591
3955 US Highway 31 South,"Traverse City, Michigan 49684","3955 US Highway 31 South, Traverse City, Michigan 49684",44.6714366,-85.6568525
2988 Walker Avenue,"Walker, Michigan 49544","2988 Walker Avenue, Walker, Michigan 49544",43.0184027,-85.7240339
3825 Carpenter Road,"Ypsilanti, Michigan 48197","3825 Carpenter Road, Ypsilanti, Michigan 48197",42.2334936,-83.6766674
820 Happy Trails Lane,"Albert Lea, Minnesota 56007","820 Happy Trails Lane, Albert Lea, Minnesota 56007",43.6572525,-93.3177893
4404 MN-29,"Alexandria, Minnesota 56308","4404 MN-29, Alexandria, Minnesota 56308",45.8499423,-95.3905257
6967 Lake Forest Road,"Baxter, Minnesota 56401-6963","6967 Lake Forest Road, Baxter, Minnesota 56401-6963",46.3786323,-94.2554211
2000 Paul Bunyan Drive Northwest,"Bemidji, Minnesota 56601","2000 Paul Bunyan Drive Northwest, Bemidji, Minnesota 56601",47.4925469,-94.9071377
585 Northtown Drive NE,"Blaine, Minnesota 55434","585 Northtown Drive NE, Blaine, Minnesota 55434",45.1254344,-93.2569292
2555  West 79th Street,"Bloomington, Minnesota 55431","2555  West 79th Street, Bloomington, Minnesota 55431",44.8595138,-93.3113629
1785  MN-210,"Carlton, Minnesota 55718","1785  MN-210, Carlton, Minnesota 55718",46.66518,-92.4793742
950 MN-24,"Clearwater, Minnesota 55320","950 MN-24, Clearwater, Minnesota 55320",45.4124406,-94.0552779
200 West 1st Street,"Duluth, Minnesota 55802-1921","200 West 1st Street, Duluth, Minnesota 55802-1921",46.7850802,-92.1019872
1940  Cliff Lake Rd,"Eagan, Minnesota 55122","1940  Cliff Lake Rd, Eagan, Minnesota 55122",44.7950748,-93.2035466
404 Fire Monument Road,"Hinckley, Minnesota 55037-8336","404 Fire Monument Road, Hinckley, Minnesota 55037-8336",46.0101988,-92.9302458
15300  Grove Circle North,"Maple Grove, Minnesota 55369","15300  Grove Circle North, Maple Grove, Minnesota 55369",45.1366536,-93.4750416
1650 New Brighton Boulevard,"Minneapolis, Minnesota 55413","1650 New Brighton Boulevard, Minneapolis, Minnesota 55413",45.005353,-93.2293623
13201 Ridgedale Drive,"Minnetonka, Minnesota 55305","13201 Ridgedale Drive, Minnetonka, Minnesota 55305",44.9696048,-93.4478385
216 7th Street West,"Monticello, Minnesota 55362","216 7th Street West, Monticello, Minnesota 55362",45.300168,-93.8002986
38682 Main St,"North Branch, Minnesota 55056","38682 Main St, North Branch, Minnesota 55056",45.511437,-92.9811781
7180 10th St N,"Oakdale, Minnesota 55128-1122","7180 10th St N, Oakdale, Minnesota 55128-1122",44.9647996,-92.9605315
1140 Frontage Rd W,"Owatonna, Minnesota 55060","1140 Frontage Rd W, Owatonna, Minnesota 55060",44.0958137,-93.248895
3501 West Broadway Avenue,"Robbinsdale, Minnesota 55422","3501 West Broadway Avenue, Robbinsdale, Minnesota 55422",45.0187474,-93.32714
500 Crossroads Dr,"Rochester, Minnesota 55902-2183","500 Crossroads Dr, Rochester, Minnesota 55902-2183",44.0058986,-92.4707019
1002  Old Minnesota Avenue,"Saint Peter, Minnesota 56082","1002  Old Minnesota Avenue, Saint Peter, Minnesota 56082",44.3370175,-93.9509898
600 MN-4,"Sherburn, Minnesota 56171-0000","600 MN-4, Sherburn, Minnesota 56171-0000",43.6618595,-94.7324417
3601 Highway 100 South,"Saint Louis Park, Minnesota 55416","3601 Highway 100 South, Saint Louis Park, Minnesota 55416",44.9372593,-93.3466055
1300 University Avenue W,"St. Paul, Minnesota 55104","1300 University Avenue W, St. Paul, Minnesota 55104",44.9533187,-93.1555421
20 Surfside Dr,"Tofte, Minnesota 55615","20 Surfside Dr, Tofte, Minnesota 55615",47.564267,-90.8565279
820 11th St,"Two Harbors, Minnesota 55616","820 11th St, Two Harbors, Minnesota 55616",47.0279325,-91.6799836
1290 Ryans Road,"Worthington, Minnesota 56187","1290 Ryans Road, Worthington, Minnesota 56187",43.6343781,-95.5954562
3586 Sangani Boulevard,"D'Iberville, Mississippi 39540","3586 Sangani Boulevard, D'Iberville, Mississippi 39540",30.459271,-88.8939971
"2030 Sunset Dr,","Grenada, Mississippi 38901-2826","2030 Sunset Dr,, Grenada, Mississippi 38901-2826",33.78712,-89.8497698
6143 US Highway 98,"Hattiesburg, Mississippi 39402","6143 US Highway 98, Hattiesburg, Mississippi 39402",31.3238185,-89.381582
1432 Delaware Avenue,"McComb, Mississippi 39648","1432 Delaware Avenue, McComb, Mississippi 39648",31.248543,-90.4711744
1210 Bonita Lakes Drive,"Meridian, Mississippi 39301-6965","1210 Bonita Lakes Drive, Meridian, Mississippi 39301-6965",32.3583373,-88.6725342
200 Bass Pro Drive,"Pearl, Mississippi 39208-9245","200 Bass Pro Drive, Pearl, Mississippi 39208-9245",32.2741569,-90.1538875
150 Goodman Rd W,"Southaven, Mississippi 38671","150 Goodman Rd W, Southaven, Mississippi 38671",34.9631075,-89.9920944
1001 Barnes Crossing Rd,"Tupelo, Mississippi 38804-0902","1001 Barnes Crossing Rd, Tupelo, Mississippi 38804-0902",34.308443,-88.7016667
7255 Interstate Blvd,"Horn Lake, Mississippi 38637","7255 Interstate Blvd, Horn Lake, Mississippi 38637",34.9663371,-90.0051002
4116 Washington Street,"Vicksburg, Mississippi 39180","4116 Washington Street, Vicksburg, Mississippi 39180",32.3159701,-90.90037
3807 Miller Street,"Bethany, Missouri 66424","3807 Miller Street, Bethany, Missouri 66424",40.2656106,-94.0154678
8702  Rose Avenue,"Brentwood, Missouri 63144","8702  Rose Avenue, Brentwood, Missouri 63144",38.626957,-90.3441937
2505  Veterans Memorial Drive,"Cape Girardeau, Missouri 63701","2505  Veterans Memorial Drive, Cape Girardeau, Missouri 63701",37.3485074,-89.5987207
17057  North Outer 40 Road,"Chesterfield, Missouri 63005","17057  North Outer 40 Road, Chesterfield, Missouri 63005",38.6716405,-90.590794
915 Port Way,"Columbia, Missouri 65201-2827","915 Port Way, Columbia, Missouri 65201-2827",38.9581532,-92.252559
3100 West Broadway,"Columbia, Missouri 65203","3100 West Broadway, Columbia, Missouri 65203",38.9532993,-92.3836588
101 N Main Street,"Concordia, Missouri 64020","101 N Main Street, Concordia, Missouri 64020",38.9898008,-93.5676523
4215  McMasters Ave,"Hannibal, Missouri 63401","4215  McMasters Ave, Hannibal, Missouri 63401",39.7185665,-91.3926846
18011 E Bass Pro Drive,"Independence, Missouri 64055-5425","18011 E Bass Pro Drive, Independence, Missouri 64055-5425",39.0393824,-94.3678647
735 W Stadium Blvd,"Jefferson City, Missouri 65109","735 W Stadium Blvd, Jefferson City, Missouri 65109",38.5791158,-92.2136611
5002 S. Main Street,"Joplin, Missouri 64804","5002 S. Main Street, Joplin, Missouri 64804",37.033314,-94.5155565
8301 North Saint Clair Avenue,"Kansas City, Missouri 64151","8301 North Saint Clair Avenue, Kansas City, Missouri 64151",39.2457244,-94.6456807
109 North Blue Jay Drive,"Liberty, Missouri 64068","109 North Blue Jay Drive, Liberty, Missouri 64068",39.2458506,-94.4469925
18 South County Center Way,"Saint Louis County, Missouri 63129","18 South County Center Way, Saint Louis County, Missouri 63129",38.5065325,-90.3316038
2612 E Malone Ave.,"Miner, Missouri 63801","2612 E Malone Ave., Miner, Missouri 63801",36.8931914,-89.5342798
500 E Austin Blvd,"Nevada, Missouri 64772","500 E Austin Blvd, Nevada, Missouri 64772",37.8365608,-94.3508932
929 Hwy D,"Osage Beach, Missouri 65065-3169","929 Hwy D, Osage Beach, Missouri 65065-3169",38.161398,-92.6032686
1705 Martin Springs Drive,"Rolla, Missouri 65401-2977","1705 Martin Springs Drive, Rolla, Missouri 65401-2977",37.9399119,-91.8020268
4565  McRee Avenue,"St. Louis , Missouri 63110","4565  McRee Avenue, St. Louis , Missouri 63110",38.6208666,-90.2607342
3050 N. Kentwood Ave.,"Springfield, Missouri 65803-4414","3050 N. Kentwood Ave., Springfield, Missouri 65803-4414",37.2521247,-93.2666144
201 North Belt Highway,"St. Joseph, Missouri 64506","201 North Belt Highway, St. Joseph, Missouri 64506",39.7662477,-94.8025385
2021 Zumbehl Road,"St. Charles, Missouri 63303-2723","2021 Zumbehl Road, St. Charles, Missouri 63303-2723",38.7825192,-90.5344507
1650 Beale Street,"St. Charles, Missouri 63303","1650 Beale Street, St. Charles, Missouri 63303",38.7646186,-90.4942543
11005 Riverview Dr,"Saint Louis, Missouri 63138","11005 Riverview Dr, Saint Louis, Missouri 63138",38.7690682,-90.182572
561 Business Hub Dr,"Belgrade , Montana 59714","561 Business Hub Dr, Belgrade , Montana 59714",45.7744806,-111.1995545
25 Town Center Avenue,"Big Sky, Montana 59716","25 Town Center Avenue, Big Sky, Montana 59716",45.2604551,-111.3079565
228 Big Timber Loop Road,"Big Timber, Montana 59011-7882","228 Big Timber Loop Road, Big Timber, Montana 59011-7882",45.8363396,-109.9432011
2711 N Frontage Rd,"Billings, Montana 59101","2711 N Frontage Rd, Billings, Montana 59101",45.8157859,-108.4172392
1801 Majestic Ln,"Billings, Montana 59102-6728","1801 Majestic Ln, Billings, Montana 59102-6728",45.7343296,-108.6037485
2023 Commerce Way,"Bozeman, Montana 59715-7500","2023 Commerce Way, Bozeman, Montana 59715-7500",45.6995036,-111.0625242
2900 Harrison Ave.,"Butte, Montana 59701-3663","2900 Harrison Ave., Butte, Montana 59701-3663",45.9818951,-112.5064588
301 S Washington Ave,"Laurel, Montana 59044","301 S Washington Ave, Laurel, Montana 59044",45.6660881,-108.7619934
1919 North Merrill Avenue,"Glendive, Montana 59330","1919 North Merrill Avenue, Glendive, Montana 59330",47.1271929,-104.6938593
2301 14th St SW,"Great Falls, Montana 59404","2301 14th St SW, Great Falls, Montana 59404",47.4835615,-111.3377048
3120 Queen Anne Street,"Helena, Montana 59602","3120 Queen Anne Street, Helena, Montana 59602",46.6188929,-112.009651
108 Bailey Street,"Lima, Montana 59739","108 Bailey Street, Lima, Montana 59739",44.6324556,-112.5910757
1815 South Haynes Avenue,"Miles City, Montana 59301","1815 South Haynes Avenue, Miles City, Montana 59301",46.4244734,-105.822802
5280 Grant Creek Rd.,"Missoula, Montana 59808-1492","5280 Grant Creek Rd., Missoula, Montana 59808-1492",46.9134881,-114.0318694
8745 Hwy 93 N,"Missoula, Montana 59808","8745 Hwy 93 N, Missoula, Montana 59808",46.9549686,-114.131492
60 Mullan Gulch Rd,"St. Regis, Montana 59866","60 Mullan Gulch Rd, St. Regis, Montana 59866",47.299279,-115.100791
205 4th Ave. East,"Superior, Montana 59872","205 4th Ave. East, Superior, Montana 59872",47.1922734,-114.8885901
201 S Canyon St.,"West Yellowstone, Montana 59758","201 S Canyon St., West Yellowstone, Montana 59758",44.6560936,-111.0986303
318 Platte River Road,"Gothenburg, Nebraska 69138-2610","318 Platte River Road, Gothenburg, Nebraska 69138-2610",40.91772,-100.16992
3335 West Wood River Road,"Grand Island, Nebraska 68803-9117","3335 West Wood River Road, Grand Island, Nebraska 68803-9117",40.8304584,-98.3800587
815  2nd Avenue East,"Kearney , Nebraska 68847","815  2nd Avenue East, Kearney , Nebraska 68847",40.6821292,-99.0839518
610 W O St,"Lincoln, Nebraska 68528","610 W O St, Lincoln, Nebraska 68528",40.8141098,-96.7283146
5020 N 27th Street,"Lincoln, Nebraska 68521-1196","5020 N 27th Street, Lincoln, Nebraska 68521-1196",40.8612768,-96.678013
202  East Leota Street,"North Platte , Nebraska 69101","202  East Leota Street, North Platte , Nebraska 69101",41.1206019,-100.7621319
501 Stagecoach Trail,"Ogallala, Nebraska 69153-3118","501 Stagecoach Trail, Ogallala, Nebraska 69153-3118",41.1160417,-101.7093647
8809 W Center Rd,"Omaha, Nebraska 68124","8809 W Center Rd, Omaha, Nebraska 68124",41.233345,-96.0517055
14225 95th Ave,"Orland Park, Illinois 60462","14225 95th Ave, Orland Park, Illinois 60462",41.6317056,-87.8507934
645 Cabela Drive,"Sidney, Nebraska 69162","645 Cabela Drive, Sidney, Nebraska 69162",41.1150925,-102.9504974
7400 Las Vegas Blvd S,"Las Vegas, Nevada 89123","7400 Las Vegas Blvd S, Las Vegas, Nevada 89123",36.0537655,-115.1696476
900 Hwy 95 N,"Beatty, Nevada 89003","900 Hwy 95 N, Beatty, Nevada 89003",36.9147919,-116.7532919
1010 Fir St,"Carlin, Nevada 89822","1010 Fir St, Carlin, Nevada 89822",40.7203443,-116.1065213
2755 Mountain City Highway,"Elko, Nevada 89801-2414","2755 Mountain City Highway, Elko, Nevada 89801-2414",40.8383539,-115.7945076
1689  Great Basin Blvd,"Ely, Nevada 89301","1689  Great Basin Blvd, Ely, Nevada 89301",39.2454635,-114.8704513
1330 Hwy 95A,"Fernley, Nevada 89408","1330 Hwy 95A, Fernley, Nevada 89408",39.5616292,-119.2392707
1979 US 395,"Gardnerville, Nevada 89410-7081","1979 US 395, Gardnerville, Nevada 89410-7081",41.9801878,-120.298646
705 Hwy 362,"Hawthorne, Nevada 89415","705 Hwy 362, Hawthorne, Nevada 89415",38.5333972,-118.6188364
2300 Paseo Verde Pkwy,"Henderson, Nevada 89052","2300 Paseo Verde Pkwy, Henderson, Nevada 89052",36.0203794,-115.0900394
2800 S Boulder Hwy,"Henderson, Nevada 89002-9346","2800 S Boulder Hwy, Henderson, Nevada 89002-9346",36.0014163,-114.9388445
18000 US-93,"Boulder City, Nevada 89005","18000 US-93, Boulder City, Nevada 89005",36.0100725,-114.7844334
930 Tahoe Boulevard,"Incline Village, Nevada 89451","930 Tahoe Boulevard, Incline Village, Nevada 89451",39.2506468,-119.9498418
6509 S Las Vegas Blvd.,"Las Vegas, Nevada 89119-3240","6509 S Las Vegas Blvd., Las Vegas, Nevada 89119-3240",36.0701114,-115.1737918
3250  East Sahara Avenue,"Las Vegas , Nevada 89104","3250  East Sahara Avenue, Las Vegas , Nevada 89104",36.1451074,-115.1034963
875 South Grand Central Parkway,"Las Vegas, Nevada 89106","875 South Grand Central Parkway, Las Vegas, Nevada 89106",36.1638292,-115.1585307
3545 South Las Vegas Boulevard,"Las Vegas, Nevada 89109","3545 South Las Vegas Boulevard, Las Vegas, Nevada 89109",36.11759,-115.168698
5825  South Eastern Avenue,"Las Vegas, Nevada 89119","5825  South Eastern Avenue, Las Vegas, Nevada 89119",36.0843075,-115.1220274
400 South Rampart Boulevard,"Las Vegas, Nevada 89145","400 South Rampart Boulevard, Las Vegas, Nevada 89145",36.1670214,-115.28617
7860  West Tropical Parkway,"Las Vegas, Nevada 89149","7860  West Tropical Parkway, Las Vegas, Nevada 89149",36.2714179,-115.2665357
701 Bridger Ave,"Las Vegas, Nevada 89101-5554","701 Bridger Ave, Las Vegas, Nevada 89101-5554",36.1659893,-115.1394094
2700 S Casino Dr,"Laughlin, Nevada 89029","2700 S Casino Dr, Laughlin, Nevada 89029",35.1504896,-114.574541
150 Main St.,"Lovelock, Nevada 89419","150 Main St., Lovelock, Nevada 89419",40.1796244,-118.472552
12300 Las Vegas Blvd S,"Henderson, Nevada 89044","12300 Las Vegas Blvd S, Henderson, Nevada 89044",35.9650723,-115.1679801
195 US-95,"McDermitt, Nevada 89421","195 US-95, McDermitt, Nevada 89421",41.9952413,-117.7186223
275 Mesa Boulevard,"Mesquite, Nevada 89027","275 Mesa Boulevard, Mesquite, Nevada 89027",36.8167824,-114.0640385
950 West Mesquite Boulevard,"Mesquite, Nevada 89027","950 West Mesquite Boulevard, Mesquite, Nevada 89027",36.8020421,-114.1012728
667 NV-160,"Pahrump, Nevada 89048","667 NV-160, Pahrump, Nevada 89048",36.2113186,-115.9856217
31900 Las Vegas Blvd S,"Primm, Nevada 89019-7002","31900 Las Vegas Blvd S, Primm, Nevada 89019-7002",35.6112606,-115.3867185
3800 S Virginia St.,"Reno, Nevada 89502-6005","3800 S Virginia St., Reno, Nevada 89502-6005",39.4889443,-119.7936537
2030 Element Ln,"Reno, Nevada 89502","2030 Element Ln, Reno, Nevada 89502",39.5031417,-119.8015942
375 N Sierra Street,"Reno, Nevada 89503","375 N Sierra Street, Reno, Nevada 89503",39.5293596,-119.815567
700 North McCarran Boulevard,"Sparks, Nevada 89431","700 North McCarran Boulevard, Sparks, Nevada 89431",39.5413704,-119.7327407
50 US-50,"Stateline, Nevada 89449","50 US-50, Stateline, Nevada 89449",38.9624671,-119.9418908
171 Main St.,"Tonopah, Nevada 89049","171 Main St., Tonopah, Nevada 89049",38.0697847,-117.2322852
1440 6th Street,"Wells, Nevada 89835","1440 6th Street, Wells, Nevada 89835",41.1008522,-114.9554981
810 W Wendover Blvd.,"West Wendover, Nevada 89883","810 W Wendover Blvd., West Wendover, Nevada 89883",40.7429926,-114.0892764
1985 W Winnemucca Blvd.,"Winnemucca, Nevada 89445-3649","1985 W Winnemucca Blvd., Winnemucca, Nevada 89445-3649",40.9585437,-117.7472102
210 Elks Point Rd,"Zephyr Cove, Nevada 89448","210 Elks Point Rd, Zephyr Cove, Nevada 89448",38.984393,-119.9426299
158 Main Street,"Ashland, New Hampshire 03217","158 Main Street, Ashland, New Hampshire 03217",43.6983385,-71.640262
11  Merchants Way,"Concord, New Hampshire 03303","11  Merchants Way, Concord, New Hampshire 03303",43.2889263,-71.578188
1890  Dover Rd,"Epsom, New Hampshire 03234","1890  Dover Rd, Epsom, New Hampshire 03234",43.2282503,-71.3598728
Hooksett Travel Plaza Northbound I-93,"Hooksett, New Hampshire 03106-1321","Hooksett Travel Plaza Northbound I-93, Hooksett, New Hampshire 03106-1321",43.0671079,-71.4714077
Hooksett Travel Plaza Southbound I-93,"Hooksett, New Hampshire 03106","Hooksett Travel Plaza Southbound I-93, Hooksett, New Hampshire 03106",43.0671079,-71.4714077
22 South Mountain,"Lincoln, New Hampshire 03251","22 South Mountain, Lincoln, New Hampshire 03251",44.0421019,-71.6677915
1071 S Willow St,"Manchester, New Hampshire 03103","1071 S Willow St, Manchester, New Hampshire 03103",42.9610039,-71.4391881
81 NH-25,"Meredith, New Hampshire 03253","81 NH-25, Meredith, New Hampshire 03253",43.6614503,-71.4936719
32  Mountain Valley Boulevard,"North Conway, New Hampshire 03860","32  Mountain Valley Boulevard, North Conway, New Hampshire 03860",44.0194315,-71.1122031
2255 Lafayette Rd,"Portsmouth, New Hampshire 03801","2255 Lafayette Rd, Portsmouth, New Hampshire 03801",43.0343731,-70.7797538
290 North Main Street,"Rochester, New Hampshire 03867","290 North Main Street, Rochester, New Hampshire 03867",43.3097509,-70.9942798
700 Lafayette Road,"Seabrook, New Hampshire 03874-6202","700 Lafayette Road, Seabrook, New Hampshire 03874-6202",42.8942842,-70.867737
40 Clubhouse Ln,"Thornton, New Hampshire 03285","40 Clubhouse Ln, Thornton, New Hampshire 03285",43.8705279,-71.6543256
65 Laconia Road,"Tilton, New Hampshire 03276","65 Laconia Road, Tilton, New Hampshire 03276",43.4550151,-71.5650234
285 N. Plainfield Road,"West Lebanon, New Hampshire 03784-2029","285 N. Plainfield Road, West Lebanon, New Hampshire 03784-2029",43.6246123,-72.3226893
1 American Dream Way,"East Rutherford, New Jersey 07073","1 American Dream Way, East Rutherford, New Jersey 07073",40.8100974,-74.0690763
930 US-1,"Avenel, New Jersey 07001","930 US-1, Avenel, New Jersey 07001",40.5768834,-74.2873451
945 West Bay Avenue,"Barnegat, New Jersey 08005","945 West Bay Avenue, Barnegat, New Jersey 08005",39.7594185,-74.2536966
415 King George Road,"Basking Ridge, New Jersey 07920","415 King George Road, Basking Ridge, New Jersey 07920",40.6550056,-74.529987
550 Myrtle Avenue,"Boonton, New Jersey 07005","550 Myrtle Avenue, Boonton, New Jersey 07005",40.9086687,-74.3969642
580 Union Avenue,"Bridgewater, New Jersey 08807","580 Union Avenue, Bridgewater, New Jersey 08807",40.5675376,-74.5637164
2060 US-130,"Burlington, New Jersey 08016-0000","2060 US-130, Burlington, New Jersey 08016-0000",40.1013533,-74.7934941
11 Court House South Dennis Road,"Cape May Court House, New Jersey 08210","11 Court House South Dennis Road, Cape May Court House, New Jersey 08210",39.089435,-74.8220176
904 Haddonfield Road,"Cherry Hill, New Jersey 08002","904 Haddonfield Road, Cherry Hill, New Jersey 08002",39.9253504,-75.0324151
548 Monmouth Road,"Clarksburg, New Jersey 08510","548 Monmouth Road, Clarksburg, New Jersey 08510",40.1572442,-74.4297143
19 Simpson Road,"Columbia, New Jersey 07832","19 Simpson Road, Columbia, New Jersey 07832",40.9344375,-75.1016748
370 North Avenue East,"Cranford, New Jersey 07016","370 North Avenue East, Cranford, New Jersey 07016",40.6580271,-74.2884187
1750 Deptford Center Road,"Deptford, New Jersey 08096","1750 Deptford Center Road, Deptford, New Jersey 08096",39.8318947,-75.0983446
755 State Route 18,"East Brunswick, New Jersey 08816","755 State Route 18, East Brunswick, New Jersey 08816",40.422879,-74.3807397
580 U.S. Route 1,"Edison, New Jersey 08817","580 U.S. Route 1, Edison, New Jersey 08817",40.5065818,-74.3935788
55 Parsonage Rd.,"Edison, New Jersey 08837-2480","55 Parsonage Rd., Edison, New Jersey 08837-2480",40.5473831,-74.3356524
3121 Fire Road,"Egg Harbor Township, New Jersey 08234-9619","3121 Fire Road, Egg Harbor Township, New Jersey 08234-9619",39.393548,-74.562073
6678 East Black Horse Pike,"Egg Harbor Township, New Jersey 08234","6678 East Black Horse Pike, Egg Harbor Township, New Jersey 08234",39.4109727,-74.5681142
651 Kapkowski Road,"Elizabeth, New Jersey 07201","651 Kapkowski Road, Elizabeth, New Jersey 07201",40.6590029,-74.1695025
Atlantic City Expressway,"Elwood, New Jersey 08217","Atlantic City Expressway, Elwood, New Jersey 08217",39.5628466,-74.7514008
20 NJ-31,"Flemington, New Jersey 08822","20 NJ-31, Flemington, New Jersey 08822",40.5054045,-74.851927
909 Route 33,"Freehold, New Jersey 07728","909 Route 33, Freehold, New Jersey 07728",40.2389287,-74.2284693
390 Hackensack Avenue,"Hackensack, New Jersey 07601","390 Hackensack Avenue, Hackensack, New Jersey 07601",40.9055677,-74.0307467
425 Market Place Blvd,"Hamilton Township, New Jersey 08691-2110","425 Market Place Blvd, Hamilton Township, New Jersey 08691-2110",40.1953629,-74.6408666
51 Flock Rd,"Hamilton Township, New Jersey 08619","51 Flock Rd, Hamilton Township, New Jersey 08619",40.2484711,-74.6840136
4690 US 9,"Howell Township, New Jersey 07731","4690 US 9, Howell Township, New Jersey 07731",40.1366817,-74.2254528
30 Mall Drive West,"Jersey City, New Jersey 07310-1615","30 Mall Drive West, Jersey City, New Jersey 07310-1615",40.7276945,-74.0380908
160 First Street,"Jersey City, New Jersey 07302","160 First Street, Jersey City, New Jersey 07302",40.7215851,-74.0404272
200 200 Harrison Avenue,"Kearny, New Jersey 07032","200 200 Harrison Avenue, Kearny, New Jersey 07032",40.7490558,-74.1359242
260 Bergen Turnpike,"Little Ferry, New Jersey 07643","260 Bergen Turnpike, Little Ferry, New Jersey 07643",40.8561051,-74.0333548
150 Essex St,"Lodi, New Jersey 07644","150 Essex St, Lodi, New Jersey 07644",40.8916959,-74.0731551
280 NJ-17,"Mahwah, New Jersey 07430","280 NJ-17, Mahwah, New Jersey 07430",41.0900813,-74.1546647
450 Delsea Drive,"Malaga, New Jersey 08328","450 Delsea Drive, Malaga, New Jersey 08328",39.5719485,-75.0530415
209 Stafford Park Blvd,"Stafford Township, New Jersey 08050","209 Stafford Park Blvd, Stafford Township, New Jersey 08050",39.7104591,-74.2837697
600 Route 38 East,"Maple Shade, New Jersey 08052","600 Route 38 East, Maple Shade, New Jersey 08052",39.9435732,-74.9689149
2801 Route 73,"Maple Shade, New Jersey 08052","2801 Route 73, Maple Shade, New Jersey 08052",39.9372343,-74.9704516
500 NJ-73,"Marlton, New Jersey 08053","500 NJ-73, Marlton, New Jersey 08053",39.8775968,-74.9202025
257 Rt 70,"Medford, New Jersey 08055","257 Rt 70, Medford, New Jersey 08055",39.9041815,-74.8048345
Route 33 & Butcher Road,"Monroe Township, New Jersey 08831","Route 33 & Butcher Road, Monroe Township, New Jersey 08831",40.2674191,-74.4710166
100 Lindbergh Rd,"Newark , New Jersey 07114","100 Lindbergh Rd, Newark , New Jersey 07114",40.6917372,-74.1845465
2819 John F. Kennedy Boulevard,"North Bergen, New Jersey 07047","2819 John F. Kennedy Boulevard, North Bergen, New Jersey 07047",40.7737339,-74.0371728
191 Grand Avenue,"North Brunswick, New Jersey 08902","191 Grand Avenue, North Brunswick, New Jersey 08902",40.4393421,-74.5049062
1453 Route 18 South,"Old Bridge, New Jersey 08853","1453 Route 18 South, Old Bridge, New Jersey 08853",40.390594,-74.3395018
350 New Road,"Parsippany, New Jersey 07054","350 New Road, Parsippany, New Jersey 07054",40.8497609,-74.3508661
51 Berkley Road,"Paulsboro, New Jersey 08066","51 Berkley Road, Paulsboro, New Jersey 08066",39.8217442,-75.2405875
327 Slapes Corner Rd,"Carneys Point, New Jersey 08069","327 Slapes Corner Rd, Carneys Point, New Jersey 08069",39.6850377,-75.4826941
365 Convery Boulevard,"Perth Amboy, New Jersey 08861","365 Convery Boulevard, Perth Amboy, New Jersey 08861",40.5170674,-74.2858169
1-55 Wanaque Ave,"Pompton Lakes, New Jersey 07442","1-55 Wanaque Ave, Pompton Lakes, New Jersey 07442",41.005924,-74.291297
315 Robbinsville-Allentown Road,"Robbinsville, New Jersey 08691","315 Robbinsville-Allentown Road, Robbinsville, New Jersey 08691",40.1931062,-74.5942689
